ciudad,temperatura,humedad,velocidad_viento,descripcion
Bogotá,30.41,60,8.03,Lluvioso
Bogotá,30.05,71,1.09,Nublado
Bogotá,34.49,77,2.1,Nublado
Bogotá,17.56,99,6.63,Lluvioso
Bogotá,16.09,68,4.05,Lluvioso
Bogotá,23.28,91,8.04,Lluvioso
Bogotá,30.82,96,6.97,Nublado
Medellín,22.69,79,7.62,Soleado
Medellín,34.18,54,6.8,Soleado
Medellín,19.63,72,4.32,Soleado
Medellín,18.95,97,9.91,Soleado
Medellín,23.55,81,4.77,Soleado
Medellín,31.51,81,3.48,Nublado
Medellín,25.05,88,6.14,Soleado
Medellín,15.01,99,1.71,Lluvioso
Medellín,18.03,58,6.19,Soleado
Medellín,23.44,57,6.38,Soleado
Medellín,27.04,84,6.67,Nublado
Medellín,26.08,87,4.45,Soleado
Medellín,19.59,95,6.61,Nublado
Medellín,26.43,87,6.16,Soleado
Medellín,22.85,88,6.67,Nublado
Medellín,26.81,67,9.27,Lluvioso
Medellín,18.89,93,7.95,Lluvioso
Medellín,31.55,96,2.78,Nublado
Medellín,33.34,77,5.77,Nublado
Medellín,34.39,100,7.08,Nublado
Medellín,25.62,86,9.82,Soleado
Medellín,27.15,95,7.64,Lluvioso
Medellín,26.32,90,1.35,Soleado
Medellín,27.92,79,2.02,Lluvioso
Medellín,31.38,77,3.78,Nublado
Medellín,22.5,72,5.64,Nublado
Medellín,27.26,61,8.23,Nublado
Medellín,33.67,91,6.13,Nublado
Medellín,21.6,52,1.71,Lluvioso
Medellín,33.99,80,1.48,Lluvioso
Medellín,21.28,81,4.41,Nublado
Medellín,26.07,81,2.37,Soleado
Medellín,21.42,97,3.21,Lluvioso
Medellín,32.79,86,9.98,Nublado
Medellín,27.06,84,8.66,Lluvioso
Medellín,23.72,65,9.08,Lluvioso
Medellín,27.57,57,6.43,Lluvioso
Medellín,23.29,59,7.52,Nublado
Medellín,17.64,92,9.61,Soleado
Medellín,26.77,96,9.57,Lluvioso
Medellín,24.05,64,1.19,Nublado
Medellín,26.27,95,8.89,Nublado
Medellín,26.95,93,2.92,Nublado
Medellín,22.52,70,5.87,Soleado
Medellín,32.23,52,4.93,Nublado
Medellín,21.1,86,8.19,Soleado
Medellín,25.53,90,6.27,Lluvioso
Medellín,26.1,96,5.2,Soleado
Medellín,23.22,69,8.2,Soleado
Medellín,26.49,78,8.15,Nublado
Medellín,25.18,97,6.5,Lluvioso
Medellín,29.34,91,8.73,Nublado
Medellín,31.8,97,6.18,Nublado
Medellín,32.61,77,6.43,Nublado
Medellín,19.83,54,8.28,Soleado
Medellín,21.16,62,5.58,Nublado
Medellín,28.14,76,9.37,Nublado
Medellín,34.81,57,5.72,Lluvioso
Medellín,24.03,66,6.95,Lluvioso
Medellín,18.74,64,1.54,Lluvioso
Medellín,27.75,97,9.81,Nublado
Medellín,32.06,90,2.86,Lluvioso
Medellín,20.17,51,1.77,Nublado
Medellín,27.24,90,6.62,Nublado
Medellín,21.26,60,9.83,Lluvioso
Medellín,21.31,67,7.37,Soleado
Medellín,15.85,51,8.63,Soleado
Medellín,18.42,96,2.78,Nublado
Medellín,26.63,72,8.17,Soleado
Medellín,29.29,100,9.88,Soleado
Medellín,23.48,98,4.19,Soleado
Medellín,29.7,65,4.85,Nublado
Medellín,23.52,60,3.77,Lluvioso
Medellín,18.23,72,8.75,Nublado
Medellín,25.2,87,1.92,Lluvioso
Medellín,16.81,76,4.92,Nublado
Medellín,19.73,98,2.99,Nublado
Medellín,26.39,66,9.08,Nublado
Medellín,32.89,95,7.75,Lluvioso
Medellín,18.28,95,7.9,Nublado
Medellín,25.2,86,7.66,Lluvioso
Medellín,23.72,76,3.66,Nublado
Medellín,23.22,64,9.88,Soleado
Medellín,20.72,71,9.14,Nublado
Medellín,34.44,70,7.68,Soleado
Medellín,25.26,96,2.23,Nublado
Medellín,25.06,60,5.65,Lluvioso
Medellín,25.77,66,9.75,Nublado
Medellín,15.38,77,2.76,Nublado
Medellín,24.94,71,4.07,Nublado
Medellín,15.76,90,9.86,Lluvioso
Medellín,31.52,64,6.54,Lluvioso
Medellín,19.49,85,7.69,Lluvioso
Medellín,29.81,94,6.47,Lluvioso
Medellín,30.77,66,4.99,Soleado
Medellín,33.04,98,2.7,Nublado
Medellín,34.34,61,5.03,Nublado
Medellín,27.58,97,9.6,Lluvioso
Medellín,25.14,100,1.67,Lluvioso
Medellín,23.89,80,2.58,Soleado
Medellín,33.36,99,1.57,Nublado
Medellín,24.81,59,9.74,Nublado
Medellín,18.93,90,3.1,Lluvioso
Medellín,21.96,84,6.03,Lluvioso
Medellín,18.4,67,7.57,Lluvioso
Medellín,32.76,72,8.52,Nublado
Medellín,15.55,54,6.09,Nublado
Medellín,32.03,51,1.15,Nublado
Medellín,17.63,82,1.4,Soleado
Medellín,32.2,74,1.18,Lluvioso
Medellín,19.81,74,8.33,Soleado
Medellín,18.81,50,4.51,Nublado
Medellín,20.69,70,4.35,Nublado
Medellín,16.21,64,2.31,Lluvioso
Medellín,23.38,95,2.86,Nublado
Medellín,34.49,84,7.57,Nublado
Medellín,25.77,88,9.71,Lluvioso
Medellín,24.78,54,1.45,Lluvioso
Medellín,16.96,64,5.91,Soleado
Medellín,21.37,99,2.51,Lluvioso
Medellín,25.05,80,1.82,Nublado
Medellín,21.01,60,1.02,Nublado
Medellín,18.28,68,2.0,Nublado
Medellín,16.71,87,9.85,Nublado
Medellín,20.41,84,2.86,Lluvioso
Medellín,34.19,78,8.48,Nublado
Medellín,19.68,96,2.13,Soleado
Medellín,22.9,75,4.01,Nublado
Medellín,32.42,83,8.51,Lluvioso
Medellín,22.43,77,8.39,Nublado
Medellín,26.47,83,8.42,Nublado
Medellín,17.89,100,5.22,Nublado
Medellín,19.36,99,4.84,Lluvioso
Medellín,31.77,52,7.37,Nublado
Medellín,16.6,99,1.22,Nublado
Medellín,21.84,84,3.42,Soleado
Medellín,20.97,56,1.12,Nublado
Medellín,31.26,58,1.8,Soleado
Medellín,15.89,87,8.33,Nublado
Medellín,19.43,70,9.63,Nublado
Medellín,31.12,80,9.86,Nublado
Medellín,17.42,63,1.8,Nublado
Medellín,23.94,87,5.59,Lluvioso
Medellín,34.98,89,8.12,Lluvioso
Medellín,28.54,72,5.31,Lluvioso
Medellín,16.24,63,8.55,Soleado
Medellín,18.45,58,3.99,Nublado
Medellín,30.21,85,4.4,Lluvioso
Medellín,28.35,55,4.82,Nublado
Medellín,32.82,58,8.22,Lluvioso
Medellín,32.65,71,4.42,Nublado
Medellín,19.04,53,9.54,Nublado
Medellín,29.73,73,5.2,Nublado
Medellín,33.35,64,6.39,Nublado
Medellín,30.11,75,2.78,Soleado
Medellín,20.68,87,4.36,Lluvioso
Medellín,21.95,90,3.08,Nublado
Medellín,31.6,69,8.95,Soleado
Medellín,26.89,78,3.85,Nublado
Medellín,16.34,88,8.12,Nublado
Medellín,15.93,77,5.11,Soleado
Medellín,31.87,52,3.45,Nublado
Medellín,22.92,100,1.19,Soleado
Medellín,28.57,78,2.16,Lluvioso
Medellín,27.79,67,4.48,Lluvioso
Medellín,23.89,97,2.04,Lluvioso
Medellín,21.6,76,6.77,Nublado
Medellín,20.54,62,7.66,Nublado
Medellín,22.91,60,9.29,Lluvioso
Medellín,15.02,77,7.51,Lluvioso
Medellín,25.65,68,9.96,Lluvioso
Medellín,31.74,83,3.23,Soleado
Medellín,31.14,69,9.59,Soleado
Medellín,34.88,94,6.99,Soleado
Medellín,22.28,77,9.4,Lluvioso
Medellín,17.93,90,1.43,Lluvioso
Medellín,34.03,58,9.31,Soleado
Medellín,18.41,94,6.58,Lluvioso
Medellín,23.56,57,1.86,Nublado
Medellín,18.1,83,9.99,Soleado
Medellín,27.01,81,4.45,Soleado
Medellín,30.44,70,9.15,Soleado
Medellín,32.56,67,4.27,Nublado
Medellín,24.88,74,4.44,Soleado
Medellín,15.77,50,6.02,Nublado
Medellín,21.99,76,6.1,Lluvioso
Medellín,21.92,81,7.67,Soleado
Medellín,27.87,58,2.89,Lluvioso
Medellín,17.95,65,3.89,Lluvioso
Medellín,34.91,84,1.7,Soleado
Medellín,16.5,76,2.79,Soleado
Medellín,31.35,71,3.67,Nublado
Medellín,32.64,93,6.06,Soleado
Medellín,19.13,79,1.01,Soleado
Medellín,17.79,56,8.2,Soleado
Medellín,16.81,81,8.15,Nublado
Medellín,27.46,53,2.76,Nublado
Medellín,22.64,79,8.52,Lluvioso
Medellín,29.26,94,3.08,Nublado
Medellín,29.72,91,2.92,Nublado
Cali,27.05,74,6.59,Lluvioso
Cali,25.21,51,6.17,Nublado
Cali,17.76,93,2.84,Soleado
Cali,20.88,68,7.23,Soleado
Cali,29.14,64,6.63,Lluvioso
Cali,30.43,79,5.14,Nublado
Cali,26.06,81,3.69,Soleado
Cali,26.0,51,9.58,Lluvioso
Cali,29.21,96,9.8,Soleado
Cali,27.33,88,7.87,Soleado
Cali,22.05,58,3.0,Soleado
Cali,16.84,64,9.35,Nublado
Cali,15.0,75,5.51,Lluvioso
Cali,32.22,93,1.92,Nublado
Cali,21.78,63,2.34,Lluvioso
Cali,34.77,63,5.84,Lluvioso
Cali,34.92,53,3.22,Nublado
Cali,30.93,55,2.88,Lluvioso
Cali,29.5,54,9.46,Lluvioso
Cali,25.78,91,3.75,Lluvioso
Cali,16.52,93,7.16,Lluvioso
Cali,33.04,54,6.72,Soleado
Cali,31.69,98,1.42,Nublado
Cali,22.65,78,1.92,Lluvioso
Cali,15.55,93,8.34,Soleado
Cali,17.53,89,6.18,Lluvioso
Cali,19.49,79,4.76,Nublado
Cali,15.37,86,7.54,Nublado
Cali,22.27,67,3.36,Nublado
Cali,32.45,83,1.58,Soleado
Cali,29.02,53,6.06,Lluvioso
Cali,23.53,52,2.0,Soleado
Cali,18.2,68,1.61,Lluvioso
Cali,31.18,90,6.26,Nublado
Cali,27.56,74,7.47,Soleado
Cali,17.73,57,5.11,Soleado
Cali,27.89,70,8.42,Soleado
Cali,20.96,98,1.54,Nublado
Cali,32.37,100,1.1,Nublado
Cali,30.31,77,8.44,Nublado
Cali,28.87,98,5.64,Nublado
Cali,27.38,65,7.21,Soleado
Cali,25.73,92,2.85,Lluvioso
Cali,19.08,97,5.89,Lluvioso
Cali,19.71,67,8.98,Nublado
Cali,34.69,58,1.62,Lluvioso
Cali,26.75,79,2.8,Nublado
Cali,16.81,73,6.16,Nublado
Cali,21.27,64,7.67,Soleado
Cali,15.66,99,5.38,Nublado
Cali,24.84,66,5.21,Nublado
Cali,23.14,100,9.09,Lluvioso
Cali,24.55,82,7.8,Lluvioso
Cali,28.16,58,5.93,Nublado
Cali,21.3,62,9.24,Soleado
Cali,27.11,85,4.92,Lluvioso
Cali,21.48,97,5.2,Nublado
Cali,18.53,58,2.14,Lluvioso
Cali,29.3,92,7.2,Nublado
Cali,17.08,79,8.44,Lluvioso
Cali,21.61,70,3.29,Nublado
Cali,27.37,56,8.11,Soleado
Cali,32.26,51,7.48,Nublado
Cali,16.66,58,4.11,Lluvioso
Cali,19.4,71,2.3,Nublado
Cali,19.86,86,9.01,Nublado
Cali,28.35,73,9.68,Lluvioso
Cali,26.16,64,7.15,Nublado
Cali,21.86,78,5.76,Lluvioso
Cali,20.5,61,6.62,Soleado
Cali,32.43,96,8.37,Soleado
Cali,33.06,66,6.76,Lluvioso
Cali,23.99,67,3.31,Lluvioso
Cali,21.16,50,7.3,Soleado
Cali,22.23,90,2.48,Soleado
Cali,22.89,100,1.55,Soleado
Cali,15.72,88,9.07,Soleado
Cali,26.35,74,7.75,Lluvioso
Cali,18.77,79,1.0,Nublado
Cali,23.51,75,5.14,Soleado
Cali,30.8,70,5.21,Soleado
Cali,22.88,50,8.59,Soleado
Cali,31.26,98,6.75,Lluvioso
Cali,30.7,99,9.08,Nublado
Cali,30.64,58,3.93,Lluvioso
Cali,32.24,61,9.54,Lluvioso
Cali,19.08,68,7.61,Nublado
Cali,27.95,73,6.65,Nublado
Cali,20.92,59,9.23,Lluvioso
Cali,16.85,77,1.13,Soleado
Cali,25.84,89,1.09,Soleado
Cali,33.48,75,2.89,Nublado
Cali,34.19,65,7.75,Nublado
Cali,29.8,50,5.64,Soleado
Cali,32.82,87,4.34,Nublado
Cali,26.63,51,1.76,Nublado
Cali,31.85,52,2.22,Soleado
Cali,25.8,56,8.04,Nublado
Cali,18.99,91,4.12,Nublado
Cali,33.18,66,9.83,Lluvioso
Cali,28.53,51,4.19,Lluvioso
Cali,29.51,62,4.22,Nublado
Cali,34.17,92,7.25,Nublado
Cali,27.26,81,4.86,Nublado
Cali,29.13,72,7.11,Soleado
Cali,17.26,71,2.67,Soleado
Cali,33.55,80,7.15,Lluvioso
Cali,26.13,70,2.63,Nublado
Cali,18.83,79,6.62,Lluvioso
Cali,31.6,99,3.18,Soleado
Cali,32.76,87,4.42,Nublado
Cali,19.3,83,4.04,Soleado
Cali,27.79,52,3.82,Lluvioso
Cali,18.55,81,2.29,Lluvioso
Cali,17.68,73,7.48,Lluvioso
Cali,23.49,85,6.67,Nublado
Cali,18.6,65,5.69,Soleado
Cali,28.8,55,5.77,Lluvioso
Cali,17.88,97,3.94,Lluvioso
Cali,22.37,96,6.54,Nublado
Cali,20.45,66,5.04,Soleado
Cali,17.77,79,2.92,Lluvioso
Cali,23.14,74,7.52,Nublado
Cali,23.96,58,4.78,Nublado
Cali,21.77,89,9.11,Lluvioso
Cali,23.46,51,5.51,Nublado
Cali,25.34,64,1.95,Soleado
Cali,19.69,63,2.36,Lluvioso
Cali,22.64,99,4.02,Nublado
Cali,27.71,86,6.54,Nublado
Cali,25.09,71,8.05,Soleado
Cali,27.91,76,9.16,Lluvioso
Cali,27.94,77,5.2,Lluvioso
Cali,20.44,61,2.46,Soleado
Cali,24.04,98,5.3,Lluvioso
Cali,34.13,89,9.85,Soleado
Cali,18.69,63,6.76,Nublado
Cali,21.64,82,2.78,Soleado
Cali,23.47,88,7.81,Soleado
Cali,23.96,96,9.81,Lluvioso
Cali,27.23,79,8.96,Soleado
Cali,26.19,75,3.57,Lluvioso
Cali,31.21,80,9.56,Lluvioso
Cali,21.44,89,5.89,Nublado
Cali,18.88,60,9.17,Nublado
Cali,31.7,59,8.22,Soleado
Cali,19.62,90,6.66,Lluvioso
Cali,33.25,96,4.78,Nublado
Cali,15.4,76,8.13,Soleado
Cali,20.1,87,9.5,Lluvioso
Cali,33.57,99,7.78,Lluvioso
Cali,18.27,91,3.99,Nublado
Cali,30.37,67,7.67,Soleado
Cali,28.88,79,4.24,Nublado
Cali,17.37,74,6.8,Nublado
Cali,22.97,80,6.97,Lluvioso
Cali,33.31,65,8.12,Soleado
Cali,18.26,96,4.93,Soleado
Cali,22.26,88,9.34,Soleado
Cali,18.1,67,5.0,Nublado
Cali,16.27,75,5.35,Lluvioso
Cali,24.92,78,3.34,Lluvioso
Cali,21.99,51,3.19,Lluvioso
Cali,17.96,92,7.6,Soleado
Cali,30.29,87,8.66,Nublado
Cali,23.32,86,7.46,Soleado
Cali,29.65,89,6.51,Nublado
Cali,24.76,81,8.34,Nublado
Cali,25.36,83,9.61,Nublado
Cali,18.49,58,7.64,Lluvioso
Cali,22.38,69,8.85,Lluvioso
Cali,19.65,69,5.25,Soleado
Cali,21.63,78,5.79,Nublado
Cali,22.56,68,7.98,Nublado
Cali,20.04,92,8.74,Lluvioso
Cali,19.61,72,3.76,Nublado
Cali,21.66,84,4.45,Soleado
Cali,26.68,89,4.52,Nublado
Cali,19.54,89,6.54,Lluvioso
Cali,34.87,88,9.38,Soleado
Cali,20.4,60,5.72,Nublado
Cali,16.34,91,5.61,Soleado
Cali,33.63,100,9.48,Nublado
Cali,32.89,75,7.59,Lluvioso
Cali,21.07,78,1.04,Soleado
Cali,19.04,100,6.81,Soleado
Cali,25.27,84,1.04,Lluvioso
Cali,27.95,65,2.69,Nublado
Cali,27.38,52,3.56,Nublado
Cali,17.82,98,5.22,Soleado
Cali,28.49,68,4.69,Soleado
Cali,20.37,54,2.2,Lluvioso
Cali,18.64,52,3.56,Soleado
Cali,17.15,91,4.54,Soleado
Cali,32.74,93,5.01,Nublado
Cali,21.43,94,5.18,Lluvioso
Cali,33.98,89,7.45,Lluvioso
Cali,25.95,59,2.57,Lluvioso
Cali,27.98,52,4.83,Soleado
Cali,19.24,55,6.16,Lluvioso
Barranquilla,20.53,69,9.74,Nublado
Barranquilla,25.74,93,6.47,Lluvioso
Barranquilla,26.83,52,1.42,Soleado
Barranquilla,23.86,93,4.82,Soleado
Barranquilla,21.77,60,7.45,Soleado
Barranquilla,17.76,82,7.85,Soleado
Barranquilla,30.85,88,3.21,Nublado
Barranquilla,25.67,54,6.87,Nublado
Barranquilla,27.74,56,4.63,Soleado
Barranquilla,20.33,73,8.32,Nublado
Barranquilla,17.39,53,3.27,Nublado
Barranquilla,29.78,70,7.87,Soleado
Barranquilla,18.9,69,3.68,Lluvioso
Barranquilla,24.25,64,7.89,Nublado
Barranquilla,22.55,60,5.76,Nublado
Barranquilla,25.19,58,5.08,Lluvioso
Barranquilla,20.13,96,6.15,Soleado
Barranquilla,22.73,57,2.98,Soleado
Barranquilla,24.95,65,7.26,Soleado
Barranquilla,27.13,73,5.85,Lluvioso
Barranquilla,29.32,85,1.87,Soleado
Barranquilla,15.45,99,8.11,Lluvioso
Barranquilla,19.31,69,2.74,Nublado
Barranquilla,19.01,65,8.96,Lluvioso
Barranquilla,29.77,66,7.31,Soleado
Barranquilla,30.15,56,4.13,Nublado
Barranquilla,21.23,61,4.92,Nublado
Barranquilla,25.8,100,9.4,Nublado
Barranquilla,19.32,59,8.14,Nublado
Barranquilla,23.18,72,8.63,Soleado
Barranquilla,23.21,59,9.72,Nublado
Barranquilla,30.08,90,9.19,Lluvioso
Barranquilla,19.29,77,8.67,Lluvioso
Barranquilla,19.78,89,6.98,Nublado
Barranquilla,15.12,90,3.88,Nublado
Barranquilla,32.6,52,1.96,Lluvioso
Barranquilla,29.18,65,2.85,Nublado
Barranquilla,22.85,70,3.19,Nublado
Barranquilla,15.33,84,3.49,Nublado
Barranquilla,23.89,88,3.47,Nublado
Barranquilla,20.53,72,7.63,Nublado
Barranquilla,20.06,51,6.27,Soleado
Barranquilla,28.93,80,2.54,Nublado
Barranquilla,33.4,81,8.8,Nublado
Barranquilla,17.97,51,9.98,Soleado
Barranquilla,29.89,97,7.96,Lluvioso
Barranquilla,24.31,64,2.38,Lluvioso
Barranquilla,34.42,73,1.63,Lluvioso
Barranquilla,16.41,86,4.33,Soleado
Barranquilla,15.89,60,5.88,Lluvioso
Barranquilla,24.6,86,1.67,Lluvioso
Barranquilla,19.47,74,7.59,Soleado
Barranquilla,28.8,92,8.34,Nublado
Barranquilla,32.94,79,3.99,Soleado
Barranquilla,33.67,92,5.13,Soleado
Barranquilla,17.76,55,8.93,Nublado
Barranquilla,27.35,65,4.47,Soleado
Barranquilla,21.6,87,3.18,Lluvioso
Barranquilla,23.88,74,6.57,Soleado
Barranquilla,21.93,51,1.09,Lluvioso
Barranquilla,28.09,97,1.41,Lluvioso
Barranquilla,27.02,92,3.68,Nublado
Barranquilla,29.22,83,1.78,Soleado
Barranquilla,15.36,75,3.63,Lluvioso
Barranquilla,23.42,66,3.46,Lluvioso
Barranquilla,32.11,80,3.32,Lluvioso
Barranquilla,22.39,94,6.25,Nublado
Barranquilla,33.17,82,5.01,Nublado
